code,label_eng,label_kor,degree
D000461,Everolimus,에베로리무스,1
D000404,Felodipine,펠로디핀,1
D000071,Fenoprofen,페노프로펜,1
D000097,Fentanyl,펜타닐,1
D000623,Fluorouracil,플루오로우라실,1
D000705,Flurbiprofen,플루르비프로펜,1
D000306,Fluvastatin,플루바스타틴,1
D001559,Foscarnet,포스카네트,1
D001747,Fosnetupitant,포스네투피탄트,1
D000209,Fosphenytoin,포스페니토인,1
D000170,Gemifloxacin,제미플록사신,1
D000690,Glibenclamide,글리벤클라미드,1
D000600,Gliclazide,글리클라지드,1
D000520,Hemocoagulase,헤모코아귤라제,1
D000414,Hydrochlorothiazide,히드로클로로티아지드,1
D000417,Hydroxychloroquine,히드록시클로로퀸,1
D000472,Iguratimod,이그라티모드,1
D000168,Ilaprazole,일라프라졸,1
D000760,Iobitridol,이오비트리돌,1
D000032,IodisedOil,아이오다이즈드오일,1
D000831,Iodixanol,이오딕사놀,1
D000669,Iohexol,이오헥솔,1
D000364,Iomeprol,이오메프롤,1
D000267,Iopamidol,이오파미돌,1
D000761,Iopromide,이오프로마이드,1
D000832,Iotrolan,이오트로란,1
D000165,Ioversol,이오베르솔,1
D000268,IoxaglicAcid,이옥사글린산,1
D000265,Isoniazid,이소니아지드,1
D000164,Isradipine,이스라디핀,1
D000615,Lamivudine,라미부딘,1
D001072,Ledipasvir,레디파스비르,1
D000616,Lercanidipine,레르카니디핀,1
D000793,Levofloxacin,레보플록사신,1
D000713,Lincomycin,린코마이신,1
D000115,Lornoxicam,로녹시캄,1
D000525,Loxoprofen,록소프로펜,1
D000230,Mefenamicacid,메페남산,1
D000467,Mefloquine,메플로퀸,1
D000320,Melphalan,멜팔란,1
D000120,Menatetrenone,메나테트레논,1
D000158,Methacycline,메타사이클린,1
D000425,Metoclopramide,메토클로프라미드,1
D000004,Metolazone,메톨라존,1
D000426,Metronidazole,메트로니다졸,1
D000324,Miconazole,미코나졸,1
D000632,Modafinil,모다피닐,1
D001817,Monobasicsodiumphosphate,인산수소나트륨무수물,1
D000081,Nabumetone,나부메톤,1
D001080,Nafcillin,나프실린,1
D000783,NalidixicAcid,날리딕스산,1
D001451,Natalizumab,나탈리주맙,1
D000604,Netilmicin,네틸마이신,1
D001365,Netupitant,네투피탄트,1
D000197,Nifedipine,니페디핀,1
D000083,Nimesulide,니메술리드,1
D000755,Octreotide,옥트레오티드,1
D001174,Ombitasvir,옴비타스비르,1
D001407,Omidenepagisopropyl,오미데네팍이소프로필,1
D000470,Ondansetron,온단세트론,1
