code,label_eng,label_kor,degree,is_age_contra,age_rule,age_reason,is_preg_contra,preg_grade,preg_reason,is_elderly_caution,elderly_reason
D000413,Pyridoxine,피리독신,1,False,-,-,False,-,-,False,-
D000178,Quazepam,쿠아제팜,1,False,-,-,True,2등급,임신중벤조디아제핀계약물투여시기형이있는태아등장애아출산의예가유의하게증가함.분만전에계속복용한경우|신생아금단증상(신경과민|진전|과긴장등)이나타날수있음,True,노인에서의장기지속형벤조다이아제핀사용은운동실조|과진정등이나타나기쉬움으로소량부터신중투여
D000811,Quinupramine,퀴누프라민,1,False,-,-,True,2등급,임부에대한안전성미확립.출산후수시간~수일동안호흡곤란|수면|산통|자극과민|저.고혈압|진전|경축등의금단증상보고.,True,노인에서의삼환계항우울제사용은기립성저혈압|비틀거림|항콜린작용에의한구갈|배뇨곤란|변비|안내압항진등이나타나기쉬움으로소량으로신중투여
D001314,Radium223dichloride,라듐-223염화물,1,False,-,-,False,-,-,False,-
D000418,Repaglinide,레파글리니드,1,True,18세미만,안전성및유효성미확립,True,2등급,임부에대한안전성미확립.동물실험에서초기흡수증가및흉골분절과상지|하지|척추및두개골의골화지연보고. / 임부에대한안전성미확립(레파글리니드)동물실험에서초기흡수증가및흉골분절과상지|하지|척추및두개골의골화지연보고,False,-
D000301,Revaprazan,레바프라잔,1,False,-,-,False,-,-,False,-
D001073,Riociguat,리오시구앗,1,False,-,-,True,1등급,랫드에서심장기형(심실중격결손)유발|배자독성(착상후소실증가)관찰됨.토끼에서자연유산|흡수증가관찰됨,False,-
D000751,S-Pantoprazole,에스판토프라졸,1,False,-,-,True,2등급,랫트암컷을이용한수태능및일반생식독성시험의고용량(450mg/kg/day)에서분만지연및출생자의사망율증가와성장지연이나타났음.주산|수유기시험의10mg/kg/day이상투여군에서출생자의출생후체중감소가나타남.동물생식연구에서는판토프라졸5mg/kg이상의용량에서약한태자독성의증상이관찰됨.,False,-
D001781,Salmeterol,살메테롤,1,False,-,-,False,-,-,False,-
D000544,Salsalate,살살레이트,1,False,-,-,True,2등급,임신중투여에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서최기형작용|난산발생빈도증가|분만지연|태아생존율감소보고.,False,-
D000342,Silodosin,실로도신,1,False,-,-,False,-,-,False,-
D000568,SodiumIodide(131I),요오드화나트륨(131I),1,False,-,-,True,1등급,임부에대한안전성미확립.,False,-
D000338,Spiramycin,스피라마이신,1,False,-,-,False,-,-,False,-
D000546,Sulfamethoxazole,설파메톡사졸,1,True,2개월미만,고빌리루빈혈증을일으킬수있음,True,2등급,동물실험에서기형발생보고.임신중이약을투여받은환자의아이에게선천성이상이보고됨.,False,-
