DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
6099,임부금기,단일,D001700,Fedratinib,페드라티닙,-,[M282491]페드라티닙염산염수화물(미분화),-,-,20240625,-임부에대한안전성미확립-작용기전에따른태아손상가능성있음.동물실험에서배태자사망과최기형성을유발한JAK저해제군에속함-랫드에서착상후손실|태아체중감소|골격변이를포함한배태자의독성과관련됨,경질캡슐제|과립제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5978,임부금기,단일,D001648,Fexuprazan,펙수프라잔,-,[A110665]펙수프라잔,-,-,20230705,-임부에대한안전성미확립,필름코팅정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
6098,임부금기,단일,D001716,Dostarlimab,도스탈리맙,-,[A110901]도스탈리맙/[M283328]도스탈리맙,-,-,20240625,-임부에대한안전성미확립-작용기전에따른태아위해가능성있음.동물실험에서PD-L1신호전달을차단하면태아에대한모체의면역관용이저해되어태아소실이증가함.사람면역글로불린(IgG4)는태반장벽을통과하므로이약이태아에게전달될가능성있음,용액주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5143,임부금기,단일,D001497,Berberine,베르베린,-,[A000414]베르베린/[M276738]베르베린,-,-,20201228,-,액상시럽제/경질캡슐제|산제/경질캡슐제|과립제/필름코팅정/환제,-,-,-,1등급,-,-,-,-,-,-,-,-,정상,-,
5149,임부금기,단일,D001505,Pinaverium,피나베륨,-,[A001385]피나베륨,-,-,20201228,-,필름코팅정/나정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5020,임부금기,단일,D001414,Abemaciclib,아베마시클립,-,[A110470]아베마시클립/[M269529]아베마시클립,-,-,20201228,랫트의배태자발달시험에서기관형성기간에4mg/kg/day이상의용량에서태자체중감소|심혈관계및골격기형및변화의발생률증가,필름코팅정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5054,임부금기,단일,D001437,Tolperisone,톨페리손,-,[A001185]톨페리손,-,-,20201228,동물실험에서부작용보고,용액주사제/당의정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5055,임부금기,단일,D000656,Atropine,아트로핀,-,[M040370]황산아트로핀/[M084258]아트로핀/[M110023]아트로핀황산염/[M223111]아트로핀황산염수화물,-,-,20201228,(주사제)동물실험에서기형발생.태아에서빈맥등발생가능성|(점안제)점안으로도전신순환가능.동물실험에서기형보고,용액주사제/점안용액제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5986,임부금기,단일,D001740,Fluciclovine(18F),플루시클로빈(18F)액,-,[A110650]플루시클로빈,-,-,20230705,-임부에대한안전성미확립,용액주사제,-,-,-,1등급,-,-,-,-,-,-,-,-,정상,-,
6115,임부금기,복합,D000146,Abiraterone,아비라테론,[D001595]Niraparib(니라파립),[A110491]니라파립/[M262177]아비라테론아세테이트(미분화),-,-,20161230,임부에대한안전성미확립.모체의호르몬농도변화로인한태아발달에위해가능성.,필름코팅정,-,-,-,1등급,-,-,-,-,-,-,-,-,정상,-,
6405,임부금기,복합,D001098,Noscapine,노스카핀,[D000147]Acetaminophen(아세트아미노펜)/[D001116]Methylephedrine(메틸에페드린)/[D000448]Pseudoephedrine(슈도에페드린)/[D000493]Guaifenesin(구아이페네신)/[D000200]Dextromethorphan(덱스트로메토르판)/[D000893]Chlorpheniramine(클로르페니라민),[A006116]메틸에페드린/[C040059]노스카핀/[C040060]염산노스카핀/[I002629]노스카핀/[I002630]노스카핀캄실레이트/[I002631]노스카핀염산염수화물/[I006391]dl-메틸에페드린염산염/[M040059]노스카핀/[M040060]염산노스카핀/[M040084]브롬화수소산덱스트로메토르판/[M040353]아세트아미노펜/[M040616]말레인산클로르페니라민/[M050058]구아이페네신/[M050213]말레인산덱스클로르페니라민/[M050833]염산슈도에페드린/[M051529]클로르페니라민/[M081720]황산슈도에페드린/[M082309]아세트아미노펜제피세립/[M082701]디엘말레인산클로르페니라민/[M083325]디말레인산클로르페니라민/[M099959]말레인산클로로페니라민/[M100018]말레산클로르페니라민/[M100476]디말레인산클로르페니라민/[M101581]디엘말레인산클로르페니라민/[M200471]말레인산클로르페니라민제피과립/[M202197]D-말레인산클로르페니라민/[M202204]DL-말레인산클로르페니라민/[M202983]덱스트로메토르판브롬화수소산염/[M203364]슈도에페드린염산염/[M203913]클로르페니라민말레인산염/[M204422]dl-메틸에페드린염산염/[M212847]클로르페니라민말레이트/[M222865]수도에페드린염산염/[M222947]노스카핀염산염수화물/[M222957]덱스트로메토르판브롬화수소산염수화물/[M223022]dl-메틸에페드린염산염산10%/[M223211]클로르페니라민말레산염/[M223212]d-클로르페니라민말레산염/[M223213]클로르페니라민말레산염산/[M223214]클로르페니라민말레산염정/[M223215]클로르페니라민말레산염주사액/[M223470]노스카핀염산염수화물/[M226783]dl-클로르페니라민말레산염/[M233006]아세트아미노펜DC500/600/[M235519]디엘메틸에페드린염산염/[M240608]dI-메틸에페드린염산염/[M240859]디엘-메틸에페드린염산염/[M245380]노스카핀염산염/[M246556]아세트아미노펜(미분화)/[M248579]수도에페드린황산염/[M249715]덱스클로르페니라민말레산염/[M251936]덱스클로르페니라민말레이트/[M252389]㎗-메틸에페드린염산염/[M256034]수도에페드린염산염과립/[M258826]수도에페드린/[M262287]아세트아미노펜과립/[M264046]DL-메틸에페드린염산염,-,-,20250714,-,연질캡슐제|액상,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
6422,임부금기,복합,D000493,Guaifenesin,구아이페네신,[D001125]PlatycodonisRadix(길경)/[D000147]Acetaminophen(아세트아미노펜)/[D001123]CinnamomumcassiaBlume(육계)/[D001116]Methylephedrine(메틸에페드린)/[D001000]Licorice(감초)/[D000448]Pseudoephedrine(슈도에페드린)/[D001513]Fennel(회향)/[D001266]AnhydrousCaffeine(카페인무수물)/[D000200]Dextromethorphan(덱스트로메토르판),-,-,-,20250714,-,필름코팅정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5023,임부금기,단일,D001418,Ribociclib,리보시클립,-,[A110474]리보시클립/[M270078]리보시클립숙신산염,-,-,20201228,동물생식독성시험에서랫드(사람노출량의0.6배)에서착상후유산발생률증가와태자체중감소|토끼(사람노출량의1.5배)에서태자기형발생률증가,필름코팅정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5316,임부금기,단일,D001565,Nitrofurantoin,니트로푸란토인,-,[A001727]니트로푸란토인,-,-,20220630,임부에대한안전성미확립|임신기간(임신38-42주)및분만또는출산시사용해서는안됨|태아및신생아에서용혈성빈혈의가능성,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
6388,임부금기,단일,D001794,Tremelimumab,트레멜리무맙,-,[A110944]트레멜리무맙,-,-,20250714,-임부에대한안전성미확립-작용기전에따라임신유지에영향을미칠가능성이있으며임부에게투여시태아에악영향을줄수있음-동물실험에서CTLA-4차단은재흡수증가및태자수를감소,용액주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5123,임부금기,단일,D001477,SilverSulfadiazine,설파디아진은,-,[A004574]설파디아진은/[M050775]설파디아진은,-,-,20201228,-,피부크림제/질용크림제/구강용크림제/직장용크림제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5150,임부금기,단일,D001506,Mebeverine,메베베린,-,[A000315]메베베린,-,-,20201228,-,당의정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5152,임부금기,단일,D001508,Sodiumphenylbutyrate,페닐부틸산나트륨,-,[A001284]페닐부틸산나트륨/[M102326]페닐부틸산나트륨,-,-,20201228,-,나정/과립제/산제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5322,임부금기,단일,D001581,Sapropterin,사프롭테린,-,[A000504]사프롭테린,-,-,20220630,임부에대한안전성미확립,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5359,임부금기,단일,D001612,Isavuconazonium,이사부코나조늄,-,[M268759]이사부코나조늄황산염,-,-,20220630,동물시험에서생식독성이관찰됨,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5044,임부금기,단일,D001429,Mepivacaine,메피바카인,-,[A000346]메피바카인/[M223029]메피바카인염산염,-,-,20201228,임신초기기형발생및중기이후태아서맥발생가능성,용액주사제/산제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5046,임부금기,단일,D001431,Procaine,프로카인,-,[A001359]프로카인/[M204268]프로카인염산염,-,-,20201228,동물실험에서부작용발생.태아서맥발생가능성,용액주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5047,임부금기,단일,D001432,Atracurium,아트라쿠륨,-,[A000755]아트라쿠륨,-,-,20201228,동물실험에서기형보고,용액주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5146,임부금기,단일,D001502,Docusate,도큐세이트,-,[A000161]도큐세이트,-,-,20201228,-,장용성필름코팅정/관장제/장용정/장용성당의정/필름코팅정/당의정/장용성캡슐제|펠렛/연질캡슐제|현탁상/연질캡슐제|액상,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5355,임부금기,단일,D001608,Talazoparib,탈라조파립,-,[A110574]탈라조파립,-,-,20220630,동물시험에서배태자독성을보임.이약을임부에게투여할경우태아에위해할수있음,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5360,임부금기,단일,D001613,Ravulizumab,라불리주맙,-,[A110538]라불리주맙,-,-,20220630,인간IgG는인간의태반장벽을통과하는것으로알려져있으며|따라서이약은태아순환에서잠재적으로말단보체억제를유발할수있음,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
6401,임부금기,복합,D001098,Noscapine,노스카핀,[D000147]Acetaminophen(아세트아미노펜)/[D000981]Cloperastine(클로페라스틴),[C040059]노스카핀/[C040060]염산노스카핀/[I002629]노스카핀/[I002630]노스카핀캄실레이트/[I002631]노스카핀염산염수화물/[M040059]노스카핀/[M040060]염산노스카핀/[M040353]아세트아미노펜/[M051546]염산클로페라스틴/[M051547]펜디조산클로페라스틴/[M082309]아세트아미노펜제피세립/[M222890]클로페라스틴염산염/[M222947]노스카핀염산염수화물/[M223470]노스카핀염산염수화물/[M233006]아세트아미노펜DC500/600/[M245380]노스카핀염산염/[M246556]아세트아미노펜(미분화)/[M262287]아세트아미노펜과립,-,-,20250714,-,연질캡슐제|액상,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
